БО;Номер послуги;МВП (підрозділ);ТМЦ;Зарплата бригади;ЄСВ_Зарплата бригади;Відрядження Добові_Бригади;Відрядження Проїзд_Бригади;Відрядження Проживання_Бригади;А-92_А/транспорт;А-95 А/транспорт;ДП А/транспорт;Газ_А/транспорт;Автомастила_А/транспорт;Зарплата водіїв;ЄСВ_зарплата водіїв;Амортизація_А/транспорт;Відрядження Добові_Водії;Відрядження Проживання_Водії;Повірка приладів обліку;Інші;Ремонт підр.спос.;Загальновиробничі витрати;АКТ/Особовий рахунок;№ договора (тільки для приєднання);Нормативні кошторисні трудовитрати бригади, люд-год. ;Нормативні кошторисні трудовитрати водіїв, люд-год. 
CK01;2300000150;CK0120242;179,77;172,94;38,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,74;;242,20;00006005;;5,70;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;54,17;0;0;0;9,18;226,72;49,88;2,79;0;0;0;0;0;0;00006005;;0;0,02
CK01;2300000151;CK0120243;4,91;52,18;11,48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;73,08;00006018;;1,72;0,02
CK01;2300000150;CK0120243;242,87;844,36;185,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1182,53;00006019;;27,83;0,02
CK01;2300000151;CK0120243;10,92;116,14;25,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,62;;162,65;00006021;;3,83;0
CK01;2300000380;CK0120243;0;0;0;0;0;0;11,04;0;0;0;10,86;146,08;32,14;3,39;0;0;0;0;0;0;00006021;;0;0,02
CK01;2300000150;CK0120243;180,44;182,95;40,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,62;;256,22;00006022;;6,03;0
CK01;2300000380;CK0120243;0;0;0;0;0;0;11,04;0;0;0;16,96;228,07;50,18;5,3;0;0;0;0;0;0;00006022;;0;0,02
CK01;2300000151;CK0120243;2,14;22,76;5,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47,20;;31,88;00006023;;0,75;0
CK01;2300000380;CK0120243;0;0;0;0;0;0;311,92;0;0;0;10,26;144,59;31,81;3,36;0;0;0;0;0;0;00006023;;0;0,02
CK01;2300000219;CK0120270;19,33;326,4;71,81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46,05;;431,76;00006055;;6,30;0
CK01;2300000380;CK0120270;0;0;0;0;0;0;191,63;0;0;0;5,45;495,87;109,09;31,68;0;0;0;0;0;0;00006055;;0;0,02
CK01;2300000219;CK0120270;1,97;2,59;0,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,84;;4,43;00006060;;0,05;0
CK01;2300000380;CK0120270;0;0;0;0;0;0;17,33;0;0;0;0,11;10,26;2,26;0,65;0;0;0;0;0;0;00006060;;0;0,02
CK01;2300000219;CK0120244;0;590,63;129,94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;781,29;00006042;;11,40;0,02
CK01;2300000219;CK0120244;60,57;7284,49;1602,59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;9635,92;00006043;;140,60;0,02
CK01;2300000151;CK0120242;5,06;85,49;18,81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,12;;119,73;00006007;;1,65;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;75,83;0;0;0;2,76;84,19;18,52;1,04;0;0;0;0;0;0;00006007;;0;0,02
CK01;2300000150;CK0120242;198,76;288,06;63,37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,12;;403,43;00006011;;5,56;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;75,83;0;0;0;9,06;228,19;50,2;2,81;0;0;0;0;0;0;00006011;;0;0,02
CK01;2300000151;CK0120243;0,61;6,07;1,34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47,20;;8,50;00006028;;0,2;0
CK01;2300000380;CK0120243;0;0;0;0;0;0;311,92;0;0;0;9,19;123,72;27,22;2,87;0;0;0;0;0;0;00006028;;0;0,02
CK01;2300000219;CK0120270;34,02;1383,33;304,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110,53;;1829,87;00006061;;26,70;0
CK01;2300000380;CK0120270;0;0;0;0;0;0;460,86;0;0;0;20,9;1900,02;418;121,36;0;0;0;0;0;0;00006061;;0;0,02
CK01;2300000151;CK0120242;4,24;71,5;15,73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,97;;94,58;00006012;;1,38;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;0;0;64,84;0;0,65;115,04;25,31;18,07;0;0;0;0;0;0;00006012;;0;0,02
CK01;2300000150;CK0120242;223,48;186,52;41,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,97;;246,73;00006016;;3,6;0
CK01;2300000380;CK0120242;0;0;0;0;0;0;0;0;64,84;0;1,44;253,83;55,84;39,87;0;0;0;0;0;0;00006016;;0;0,02
CK01;2300000151;CK0120243;19,28;325,37;71,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,15;;430,40;00006031;;6,28;0
CK01;2300000380;CK0120243;0;0;0;0;0;0;162,29;0;0;0;1,84;483,44;106,36;56,86;0;0;0;0;0;0;00006031;;0;0,02
CK01;2300000150;CK0120243;989,93;1374;302,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,15;;1817,53;00006033;;26,52;0
CK01;2300000380;CK0120243;0;0;0;0;0;0;162,29;0;0;0;6,59;1737,92;382,34;204,41;0;0;0;0;0;0;00006033;;0;0,02
CK01;2300000151;CK0120243;15,34;259,05;56,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;342,67;00006034;;5;0,02
CK01;2300000150;CK0120243;254,41;1227,9;270,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1624,27;00006038;;23,70;0,02
